TABLA DE SIMBOLOS 
              NOMBRE               TOKEN                TIPO               VALOR                LONG

                   f                  ID               Float                   _                   _
                 res                  ID               Float                   _                   _
                   a                  ID                 Int                   _                   _
                   b                  ID                 Int                   _                   _
                   c                  ID                 Int                   _                   _
                   d                  ID                 Int                   _                   _
                  xd                  ID                Bool                   _                   _
                ahre                  ID                Bool                   _                   _
                   _      STRING_LITERAL          CTE_STRINGhola esto es una prueba                  23

